aadamu	萨达姆
aahaha	娃哈哈
aai	在,再,外,赛,塞,载
aaiba	再把
aaibao	外包
aaibei	在被
aaibeijing	在北京
aaibiao	外表
aaibu	外部,在不,再不
aaibuduan	在不断
aaibutong	在不同
aaichang	在场
aaichangshi	再尝试
aaichanpin	在产品
aaiche	赛车
aaichu	外出
aaici	再次,在此
aaidangdi	在当地
aaidangshi	在当时
aaidao	再到
aaidi	外地,在地
aaidu	再度,在读
aaidui	在对
aaiduo	再多
aaifazhan	在发展
aaigao	在高
aaigongsi	在公司
aaigongzuo	在工作
aaigua	外挂
aaiguan	外观
aaiguangzhou	在广州
aaiguiding	在规定
aaiguo	外国
aaiguoji	在国际
aaiguojia	在国家
aaiguonei	在国内
aaiguoqu	在过去
aaiguoren	外国人
aaiguowai	在国外
aaihai	灾害
aaihe	在和
aaihenduo	在很多
aaihou	在后
aaihu	在乎
aaihua	在华
aaihui	外汇
aaihuishang	在会上
aaiji	赛季
aaijia	在家,再加
aaijiali	在家里
aaijian	再见
aaijiang	再将
aaijiao	外交
aaijiaqiang	再加强
aaijiashang	再加上
aaijie	外界
aaijieshou	在接受
aaijing	在京
aaijingji	在经济
aaijinhou	在今后
aaijinnian	在今年
aaijintian	在今天
aaijinxing	在进行
aaijiuye	再就业
aaikan	再看,在看
aaike	外壳,外科
aaikongzhong	在空中
aailai	再来,外来
aailimian	在里面
aailuntan	在论坛
aailushang	在路上
aaimao	外贸
aaimeiyou	在没有
aaimian	外面
aaiming	载明
aaimuqian	在目前
aaina	在那,在哪
aainali	在那里,在哪里
aainan	灾难
aainei	在内
aaini	在你
aainin	在您
aainongcun	在农村
aaiouzhou	在欧洲
aaipei	栽培
aaiqi	在其,外企
aaiqian	在前
aaiqita	在其他
aaiqiye	在企业
aaiqu	再去
aaiquanqiu	在全球
aairen	在人,外人
aairiben	在日本
aairu	载入
aaishang	在上,再上
aaishehui	在社会
aaisheji	在设计
aaisheng	再生
aaishengchan	在生产
aaishenme	在什么
aaishenzhen	在深圳
aaishi	赛事
aaishichang	在市场
aaishiji	在实际
aaishijie	在世界
aaishiyong	在使用
aaishou	在手
aaishuo	再说,在说
aaita	在他,在她,在它
aaitade	在他的,在她的
aaitaiwan	在台湾
aaitao	外套
aaiti	载体
aaiwai	在外
aaiwangluo	在网络
aaiwangshang	在网上
aaiwangzhan	在网站
aaiwei	在为,外围
aaiweilai	在未来
aaiwo	在我
aaiwoguo	在我国
aaixia	在下
aaixian	在线,再现
aaixiandai	在现代
aaixiang	在想,在向
aaixianggang	在香港
aaixiao	在校
aaixiaosheng	在校生
aaixin	再新
aaixing	外形,外型
aaixuanze	在选择
aaixuduo	在许多
aaixuexiao	在学校
aaiye	再也
aaiyi	在意,在以
aaiyici	再一次
aaiyiding	在一定
aaiyingguo	在英国
aaiyiqi	在一起
aaiyixie	在一些
aaiyong	再用,在用
aaiyou	再有,在有
aaiyu	在于,外语,在与
aaizai	外在
aaizao	再造
aaizhe	在这
aaizhege	在这个
aaizheli	在这里
aaizhengge	在整个
aaizhexie	在这些
aaizhezhong	在这种
aaizhi	在职
aaizhongguo	在中国
aaizi	外资
aaiziji	在自己
aaizuo	在做,再做
aajue	挖掘
aale	咋了
aan	三,完,万,晚,玩,散
aanbai	三百
aanbao	晚报,三包
aanbi	完毕
aanbihou	完毕后
aanbu	散步,散布,暂不
aanbucheng	玩不成
aancan	晚餐
aanceng	三层
aancheng	完成,赞成
aanchenghou	完成后
aanchengle	完成了
aanci	三次
aanda	三大
aande	玩的
aandengjiang	三等奖
aandian	三点
aandun	万吨
aanduo	万多
aanfa	散发
aanfan	晚饭
aanfang	三方
aanfen	三分,万分
aang	王,望,往,忘,网,亡
aangba	网吧
aangchao	王朝
aangdian	网点,网店
aange	三个
aangeren	三个人
aangeyue	三个月
aangfan	往返
aangguan	网管,网关
aangguo	王国
aangji	忘记,旺季
aangjile	忘记了
aangka	网卡
aanglai	往来
aangluo	网络
aangluohua	网络化
aangmin	网民
aangming	网名
aangmou	王某
aangong	完工
aangqian	往前
aangqiu	网球
aangshang	网上,往上
aangsheng	旺盛
aangshi	丧失,往事
aangtong	网通
aanguo	三国
aangwang	往往
aangwanghui	往往会
aangwangshi	往往是
aangxia	往下
aangxiao	网校
aangye	网页
aangyi	网易
aangyou	网友,网游
aangzhan	网站
aangzhe	望着,王者
aangzhi	网址
aangzi	王子
aangzu	藏族
aanhou	完后
aanhu	万户
aanji	三级
aanjia	玩家,三家
aanjiao	三角
aanjiu	挽救
aanju	玩具
aanlei	三类
aanli	万里
aanliang	万辆
aanling	三菱
aanlou	三楼
aanmei	完美,赞美
aanmeide	完美的
aanmeiyuan	万美元
aanmen	咱们
aanming	三名
aanmu	万亩
aanneng	万能
aannian	三年,万年
aannianji	三年级
aannong	三农
aanqi	三七,晚期,三期
aanqian	三千
aanqu	弯曲
aanquan	完全
aanquanbu	完全不
aanquanshi	完全是
aanre	散热
aanren	万人,三人
aanreqi	散热器
aanri	三日
aanru	宛如
aanshan	完善
aanshang	晚上,赞赏
aanshi	三是,暂时,三十
aantai	万台
aantan	赞叹
aantian	三天
aantiao	三条
aanting	暂停
aantong	赞同
aanwei	三维
aanwen	散文
aanwu	暂无,万物
aanxia	三峡
aanxiang	三项
aanxiao	玩笑
aanxing	三星
aanya	三亚
aanyi	万一,万亿
aanyouxi	玩游戏
aanyu	万余
aanyuan	万元
aanyue	三月
aanzhe	三者
aanzheng	完整
aanzhengxing	完整性
aanzhong	三种
aanzhu	赞助
aanzhushang	赞助商
aaocan	早餐
aaocanhou	早餐后
aaochen	早晨
aaocheng	造成
aaochengle	造成了
aaodao	遭到
aaodian	早点
aaofang	造访
aaojia	造价
aaojiu	早就,造就
aaojiule	造就了
aaolin	造林
aaomiao	扫描
aaomiaoyi	扫描仪
aaoqi	早期
aaorao	骚扰
aaori	早日
aaosao	嫂嫂
aaoshang	早上
aaosheng	噪声
aaoshou	遭受
aaowan	早晚
aaoxing	造型
aaoyi	早已
aaoyin	噪音
aaoyu	遭遇
aaozai	早在
aaozao	早早
aaozhi	造纸
aawa	娃娃
aazhi	杂志,杂质
aazhishe	杂志社
aazi	袜子
ab	按,安,暗,案,岸
abding	安定
abenting	阿根廷
abg	昂
abggui	昂贵
abguiding	按规定
abhui	安徽
abhuisheng	安徽省
abjian	按键,案件
abjie	按揭
abjing	安静
abjisuan	氨基酸
abli	案例,安利
abmo	按摩
abning	安宁
abniu	按钮
abpai	安排
abquan	安全
abquande	安全的
abquangan	安全感
abquanxing	安全性
abshi	按时,暗示
abwei	安慰
abxia	按下
abxin	安心
abzhao	按照
abzhi	安置
abzhong	暗中
abzhu	按住
abzhuang	安装
abzhuangle	安装了
abzhuangzai	安装在
adr	阿尔
ae	色,则,责,择,泽,瑟
aebu	则不
aecai	色彩
aechengwei	则称为
aed	阿尔
aediao	色调
aee	阿尔
aef	阿尔
aeg	阿尔
aehui	则会
aei	为,位,微,未,围,卫
aeiba	尾巴
aeibaozheng	为保证
aeibei	违背
aeiben	为本
aeibi	未必
aeiceng	未曾
aeichengnian	未成年
aeichi	维持
aeici	为此
aeida	伟大
aeidade	伟大的
aeidaibiao	为代表
aeidajia	为大家
aeidao	味道
aeide	为的
aeifa	违法
aeifan	违反
aeifang	潍坊
aeifei	为非
aeigai	为该
aeiguangda	为广大
aeigui	违规
aeiguojia	为国家
aeihai	危害,威海
aeihe	为何
aeihexin	为核心
aeihu	维护
aeihun	未婚
aeiji	危机,违纪,危及,维基
aeijiaqiang	为加强
aeijichu	为基础
aeijing	未经,味精
aeikehu	为客户
aeilai	未来
aeilaide	未来的
aeilerang	为了让
aeili	威力
aeilian	威廉
aeiman	未满
aeimin	为民
aeimubiao	为目标
aeimudi	为目的
aeinan	为难
aeineng	未能
aeini	为你
aeinin	为您
aeiqi	为其,为期
aeiqiye	为企业
aeiqu	委屈
aeiquan	维权
aeiquebao	为确保
aeirao	围绕
aeiren	为人
aeirong	为荣
aeiruan	微软
aeiruande	微软的
aeisheng	卫生
aeishengjian	卫生间
aeishengju	卫生局
aeishengsu	维生素
aeishengwu	微生物
aeishengyuan	卫生院
aeishenme	为什么
aeishi	为使
aeishixian	为实现
aeishou	为首
aeisuo	猥琐,萎缩
aeita	为他,为她
aeitamen	为他们
aeitigao	为提高
aeituo	委托
aeituoren	委托人
aeiwang	威望
aeiwei	微微
aeiwen	慰问
aeiwo	为我
aeiwomen	为我们
aeixian	危险
aeixiande	危险的
aeixianxing	危险性
aeixiao	微笑
aeixiaobao	韦小宝
aeixiaozhe	微笑着
aeixie	威胁
aeixin	微信
aeixing	卫星,微型
aeixiu	维修
aeixuesheng	为学生
aeiye	尾页
aeiyi	唯一,为宜
aeiyide	唯一的
aeiyiju	为依据
aeiyiti	为一体
aeiyou	唯有,为由
aeiyu	位于,卫浴
aeiyuan	委员
aeiyuanhui	委员会
aeiyue	违约
aeiyuejin	违约金
aeizao	伪造
aeizhang	违章
aeizhe	围着
aeizhi	位置,未知,为止,为之,谓之
aeizhide	位置的
aeizhishang	位置上
aeizhong	为重
aeizhongdian	为重点
aeizhongxin	为中心
aeizhuce	未注册
aeizhun	为准
aeizhuti	为主题,为主体
aeiziji	为自己
aeizongzhi	为宗旨
aeke	则可
aekeyi	则可以
aeling	责令
aenben	文本
aenbu	稳步
aenda	问答
aendang	文档
aending	稳定
aendingde	稳定的
aendingxing	稳定性
aendu	温度
aeng	增,僧
aengchan	增产
aengda	增大
aengduo	增多
aenge	文革
aengfu	增幅
aenggao	增高
aengjia	增加
aengjiadao	增加到
aengjiale	增加了
aengjian	增减
aengjiazhi	增加值
aengjin	增进
aengqiang	增强
aengqiangle	增强了
aengshe	增设
aengsheng	增生
aengshou	增收
aengsong	赠送
aengsu	增速
aengtian	增添
aengtianle	增添了
aengzhang	增长
aengzhangle	增长了
aengzhanglv	增长率
aengzhi	增值
aengzhishui	增值税
aenhe	温和
aenhou	问候
aenhua	文化
aenhuabu	文化部
aenji	文集
aenjiabao	温家宝
aenjian	文件,稳健
aenjiande	文件的
aenjianjia	文件夹
aenjianming	文件名
aenjianshu	文件树
aenjianzhong	文件中
aenju	文具
aenke	文科
aenle	问了
aenlin	森林
aenme	怎么
aenmeban	怎么办
aenmehui	怎么会
aenmele	怎么了
aenmeneng	怎么能
aenmeyang	怎么样
aenmeye	怎么也
aenmezuo	怎么做
aenmi	文秘
aenming	文明
aenneng	怎能
aenni	问你
aennuan	温暖
aenping	文凭
aenquan	温泉
aenren	文人
